2017-03-14 14:04:36.021 stock 福建高速, 价格:359, 总笔数:50 逐笔量：31445,5000,5000,50000,6600,30000,30000,7000,2300,3000,17000,2800,4800,10000,2000,100,100,3000,100,3700,600,100,3000,100,67600,1900,1500,4000,7000,10000,800,10000,700,1000,7200,100,5000,7000,100,100,6000,2000,100,200,200,5000,10000,1900,2000,200,
2017-03-14 14:04:36.021 stock 福建高速, 价格:360, 总笔数:50 逐笔量：41700,19600,6700,8600,300,1500,1700,400,10000,10000,9300,50000,6600,8000,7200,2900,5000,5500,5000,600,1000,50000,10000,1000,13700,400,7500,1400,4200,5000,30000,500,10000,32800,5000,10000,10000,2700,2000,2000,5000,50000,17000,15800,5000,2900,18000,5000,12900,10700,
2017-03-14 14:04:49.636 stock 福建高速, 价格:359, 总笔数:50 逐笔量：31445,5000,5000,50000,6600,30000,30000,7000,2300,3000,17000,2800,4800,10000,2000,100,100,3000,100,3700,600,100,3000,100,67600,1900,1500,4000,7000,10000,800,10000,700,1000,7200,100,5000,7000,100,100,6000,2000,100,200,200,5000,10000,1900,2000,200,
2017-03-14 14:04:49.636 stock 福建高速, 价格:360, 总笔数:50 逐笔量：41700,19600,6700,8600,300,1500,1700,400,10000,10000,9300,50000,6600,8000,7200,2900,5000,5500,5000,600,1000,50000,10000,1000,13700,400,7500,1400,4200,5000,30000,500,10000,32800,5000,10000,10000,2700,2000,2000,5000,50000,17000,15800,5000,2900,18000,5000,12900,10700,
2017-03-14 14:04:51.772 stock 福建高速, 价格:359, 总笔数:50 逐笔量：31445,5000,5000,50000,6600,30000,30000,7000,2300,3000,17000,2800,4800,10000,2000,100,100,3000,100,3700,600,100,3000,100,67600,1900,1500,4000,7000,10000,800,10000,700,1000,7200,100,5000,7000,100,100,6000,2000,100,200,200,5000,10000,1900,2000,200,
2017-03-14 14:04:51.772 stock 福建高速, 价格:360, 总笔数:50 逐笔量：41700,19600,6700,8600,300,1500,1700,400,10000,10000,9300,50000,6600,8000,7200,2900,5000,5500,5000,600,1000,50000,10000,1000,13700,400,7500,1400,4200,5000,30000,500,10000,32800,5000,10000,10000,2700,2000,2000,5000,50000,17000,15800,5000,2900,18000,5000,12900,10700,
2017-03-14 14:04:55.332 stock 福建高速, 价格:359, 总笔数:50 逐笔量：31445,5000,5000,50000,6600,30000,30000,7000,2300,3000,17000,2800,4800,10000,2000,100,100,3000,100,3700,600,100,3000,100,67600,1900,1500,4000,7000,10000,800,10000,700,1000,7200,100,5000,7000,100,100,6000,2000,100,200,200,5000,10000,1900,2000,200,
2017-03-14 14:04:55.333 stock 福建高速, 价格:360, 总笔数:50 逐笔量：41600,19600,6700,8600,300,1500,1700,400,10000,10000,9300,50000,6600,8000,7200,2900,5000,5500,5000,600,1000,50000,10000,1000,13700,400,7500,1400,4200,5000,30000,500,10000,32800,5000,10000,10000,2700,2000,2000,5000,50000,17000,15800,5000,2900,18000,5000,12900,10700,
2017-03-14 14:04:59.255 stock 福建高速, 价格:359, 总笔数:50 逐笔量：30945,5000,5000,50000,6600,30000,30000,7000,2300,3000,17000,2800,4800,10000,2000,100,100,3000,100,3700,600,100,3000,100,67600,1900,1500,4000,7000,10000,800,10000,700,1000,7200,100,5000,7000,100,100,6000,2000,100,200,200,5000,10000,1900,2000,200,
2017-03-14 14:04:59.256 stock 福建高速, 价格:360, 总笔数:50 逐笔量：40600,19600,6700,8600,300,1500,1700,400,10000,10000,9300,50000,6600,8000,7200,2900,5000,5500,5000,600,1000,50000,10000,1000,13700,400,7500,1400,4200,5000,30000,500,10000,32800,5000,10000,10000,2700,2000,2000,5000,50000,17000,15800,5000,2900,18000,5000,12900,10700,
