2017-03-14 14:04:46.512 [最新]接收到逐笔数据：要求的大单数据起始序号：2656
2017-03-14 14:04:46.526 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-200
2017-03-14 14:04:46.526 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-200
2017-03-14 14:04:46.526 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-2000
2017-03-14 14:04:46.526 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-100
2017-03-14 14:04:46.527 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-3400
2017-03-14 14:04:46.527 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-300
2017-03-14 14:04:46.527 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-5400
2017-03-14 14:04:50.364 [最新]接收到逐笔数据：要求的大单数据起始序号：2688
2017-03-14 14:04:50.364 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:01:47,2416,-100
2017-03-14 14:04:50.365 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:08,2415,-1800
2017-03-14 14:04:50.365 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:42,2415,-800
2017-03-14 14:04:50.365 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:42,2415,-500
2017-03-14 14:04:50.365 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:42,2415,-300
2017-03-14 14:04:50.365 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:42,2415,-200
2017-03-14 14:04:50.366 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:42,2415,-800
2017-03-14 14:04:50.366 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:44,2415,-600
2017-03-14 14:04:50.366 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:44,2415,-1200
2017-03-14 14:04:50.366 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:45,2416,400
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:45,2416,600
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:02:50,2415,-500
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:03:30,2415,-1900
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:03:30,2415,-200
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:03:55,2415,-300
2017-03-14 14:04:50.367 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-500
2017-03-14 14:04:50.368 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-2100
2017-03-14 14:04:50.368 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-200
2017-03-14 14:04:50.368 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-1100
2017-03-14 14:04:50.368 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-1000
2017-03-14 14:04:50.369 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2415,-400
2017-03-14 14:04:50.369 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-100
2017-03-14 14:04:50.370 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-1000
2017-03-14 14:04:50.370 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-2000
2017-03-14 14:04:50.370 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-200
2017-03-14 14:04:50.371 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-200
2017-03-14 14:04:50.371 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-2000
2017-03-14 14:04:50.371 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2413,-100
2017-03-14 14:04:50.371 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-3400
2017-03-14 14:04:50.372 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-300
2017-03-14 14:04:50.372 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:07,2412,-5400
2017-03-14 14:04:50.372 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:37,2412,-400
2017-03-14 14:04:52.319 [最新]接收到逐笔数据：要求的大单数据起始序号：2720
2017-03-14 14:04:52.319 [最新]接收到逐笔数据：sh600506,香梨股份,03-14 14:04:38,2412,-200
