2017-03-14 14:04:38.638 [最新]接收到逐笔数据：要求的大单数据起始序号：24992
2017-03-14 14:04:38.654 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,700
2017-03-14 14:04:38.654 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:28,972,-1000
2017-03-14 14:04:38.655 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:30,972,-400
2017-03-14 14:04:38.655 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:31,972,-1000
2017-03-14 14:04:38.655 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:31,972,-300
2017-03-14 14:04:52.128 [最新]接收到逐笔数据：要求的大单数据起始序号：25024
2017-03-14 14:04:52.128 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:07,972,-5000
2017-03-14 14:04:52.128 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:09,972,-10000
2017-03-14 14:04:52.128 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:10,972,-1100
2017-03-14 14:04:52.129 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:10,972,-100
2017-03-14 14:04:52.129 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:11,973,700
2017-03-14 14:04:52.129 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:13,973,7100
2017-03-14 14:04:52.129 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:14,973,2000
2017-03-14 14:04:52.130 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:15,972,-1800
2017-03-14 14:04:52.130 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:15,972,-2200
2017-03-14 14:04:52.130 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:15,973,700
2017-03-14 14:04:52.130 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:16,972,-13800
2017-03-14 14:04:52.130 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:16,972,-2000
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:16,972,-4200
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:17,972,-800
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:17,972,-100
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:17,972,-500
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:17,972,-400
2017-03-14 14:04:52.131 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:19,972,-200
2017-03-14 14:04:52.132 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:21,973,700
2017-03-14 14:04:52.132 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,4300
2017-03-14 14:04:52.132 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,2000
2017-03-14 14:04:52.132 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,10000
2017-03-14 14:04:52.132 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,200
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,1600
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,1000
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,200
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:24,973,700
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:28,972,-1000
2017-03-14 14:04:52.133 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:30,972,-400
2017-03-14 14:04:52.134 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:31,972,-1000
2017-03-14 14:04:52.134 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:31,972,-300
2017-03-14 14:04:52.134 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:38,972,-1700
2017-03-14 14:04:52.134 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:38,972,-200
2017-03-14 14:04:52.210 [最新]接收到逐笔数据：要求的大单数据起始序号：25055
2017-03-14 14:04:52.210 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:38,972,-1700
2017-03-14 14:04:52.210 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:38,972,-200
2017-03-14 14:04:52.210 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:39,972,-300
2017-03-14 14:04:52.211 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:39,972,-200
2017-03-14 14:04:53.880 [最新]接收到逐笔数据：要求的大单数据起始序号：25059
2017-03-14 14:04:53.881 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:41,972,-1400
2017-03-14 14:04:56.071 [最新]接收到逐笔数据：要求的大单数据起始序号：25060
2017-03-14 14:04:56.071 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,400
2017-03-14 14:04:56.071 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,700
2017-03-14 14:04:56.072 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:45,973,900
2017-03-14 14:04:56.143 [最新]接收到逐笔数据：要求的大单数据起始序号：25063
2017-03-14 14:04:56.143 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,500
2017-03-14 14:04:56.145 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,700
2017-03-14 14:04:56.145 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:46,973,500
2017-03-14 14:04:57.873 [最新]接收到逐笔数据：要求的大单数据起始序号：25066
2017-03-14 14:04:57.874 [最新]接收到逐笔数据：sh600098,广州发展,03-14 14:04:47,973,500
