2017-03-14 14:04:38.378 [最新]接收到逐笔数据：要求的大单数据起始序号：4800
2017-03-14 14:04:59.957 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:59.958 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:59.958 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:59.958 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-200
2017-03-14 14:04:59.959 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-100
2017-03-14 14:04:59.959 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:19,3150,100
2017-03-14 14:04:59.959 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3149,-100
2017-03-14 14:04:59.960 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3148,-200
2017-03-14 14:04:59.960 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3148,-200
2017-03-14 14:04:59.960 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3148,-300
2017-03-14 14:04:59.961 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3148,-100
2017-03-14 14:04:59.961 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:20,3148,-400
2017-03-14 14:04:59.962 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:26,3148,-100
2017-03-14 14:04:59.962 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:45,3148,-100
2017-03-14 14:04:59.962 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:50,3148,-100
2017-03-14 14:04:59.962 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:50,3148,-300
2017-03-14 14:04:59.963 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:50,3148,-200
2017-03-14 14:04:59.963 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:50,3148,-400
2017-03-14 14:04:59.963 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:51,3148,-200
2017-03-14 14:04:59.963 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:51,3148,-100
