2017-03-14 14:04:41.037 [最新]接收到逐笔数据：要求的大单数据起始序号：1952
2017-03-14 14:04:41.050 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:41.050 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:41.050 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:30,1006,6000
2017-03-14 14:04:53.804 [最新]接收到逐笔数据：要求的大单数据起始序号：1984
2017-03-14 14:04:53.804 [最新]接收到逐笔数据：sh600206,有研新材,03-14 13:59:59,1007,200
2017-03-14 14:04:53.804 [最新]接收到逐笔数据：sh600206,有研新材,03-14 13:59:59,1007,100
2017-03-14 14:04:53.805 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:12,1007,-600
2017-03-14 14:04:53.806 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:16,1008,1400
2017-03-14 14:04:53.806 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:28,1008,1800
2017-03-14 14:04:53.806 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:30,1007,-500
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:32,1008,2000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:34,1008,200
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-2700
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-500
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-400
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:50,1007,500
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:05,1006,-1500
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:21,1007,700
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:25,1007,1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:07,1006,-500
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:15,1006,-6000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:34,1006,-1400
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:39,1007,1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-5000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-200
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-2000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-200
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:30,1006,6000
2017-03-14 14:04:53.807 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:44,1006,-200
2017-03-14 14:04:57.676 [最新]接收到逐笔数据：要求的大单数据起始序号：2013
2017-03-14 14:04:57.676 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:47,1007,500
2017-03-14 14:04:57.768 [最新]接收到逐笔数据：要求的大单数据起始序号：1984
2017-03-14 14:04:57.769 [最新]接收到逐笔数据：sh600206,有研新材,03-14 13:59:59,1007,200
2017-03-14 14:04:57.769 [最新]接收到逐笔数据：sh600206,有研新材,03-14 13:59:59,1007,100
2017-03-14 14:04:57.769 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:12,1007,-600
2017-03-14 14:04:57.769 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:16,1008,1400
2017-03-14 14:04:57.770 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:28,1008,1800
2017-03-14 14:04:57.770 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:30,1007,-500
2017-03-14 14:04:57.770 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:32,1008,2000
2017-03-14 14:04:57.770 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:00:34,1008,200
2017-03-14 14:04:57.771 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-2700
2017-03-14 14:04:57.771 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-500
2017-03-14 14:04:57.771 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:45,1007,-400
2017-03-14 14:04:57.771 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:01:50,1007,500
2017-03-14 14:04:57.771 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:05,1006,-1500
2017-03-14 14:04:57.772 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:21,1007,700
2017-03-14 14:04:57.772 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:02:25,1007,1000
2017-03-14 14:04:57.772 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:07,1006,-500
2017-03-14 14:04:57.772 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:15,1006,-6000
2017-03-14 14:04:57.773 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:34,1006,-1400
2017-03-14 14:04:57.773 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:03:39,1007,1000
2017-03-14 14:04:57.773 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:57.773 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-5000
2017-03-14 14:04:57.773 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-200
2017-03-14 14:04:57.774 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-2000
2017-03-14 14:04:57.774 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:57.774 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-200
2017-03-14 14:04:57.774 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:57.775 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:01,1006,-1000
2017-03-14 14:04:57.775 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:30,1006,6000
2017-03-14 14:04:57.775 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:44,1006,-200
2017-03-14 14:04:57.775 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:47,1007,500
2017-03-14 14:04:57.776 [最新]接收到逐笔数据：sh600206,有研新材,03-14 14:04:49,1006,-2000
