2017-03-14 14:04:48.365 [最新]接收到逐笔数据：要求的大单数据起始序号：1248
2017-03-14 14:04:48.373 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:03,3315,-300
2017-03-14 14:04:48.373 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-1000
2017-03-14 14:04:48.374 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-200
2017-03-14 14:04:48.374 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-300
2017-03-14 14:04:48.375 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:06,3314,-100
2017-03-14 14:04:48.375 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:24,3313,-74
2017-03-14 14:04:48.375 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:29,3313,-300
2017-03-14 14:04:48.375 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:29,3313,-200
2017-03-14 14:04:57.939 [最新]接收到逐笔数据：要求的大单数据起始序号：1280
2017-03-14 14:04:57.939 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:21,3316,-53
2017-03-14 14:04:57.939 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:21,3316,-100
2017-03-14 14:04:57.940 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:21,3316,-200
2017-03-14 14:04:57.940 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:21,3316,-47
2017-03-14 14:04:57.940 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:27,3316,-53
2017-03-14 14:04:57.941 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:27,3316,-500
2017-03-14 14:04:57.941 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:27,3316,-500
2017-03-14 14:04:57.941 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:27,3316,-1447
2017-03-14 14:04:57.941 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:02:30,3317,-200
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:06,3318,100
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:13,3315,-274
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:33,3316,-1200
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:33,3315,-326
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:33,3315,-100
2017-03-14 14:04:57.942 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:33,3315,-374
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:39,3315,-26
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:39,3315,-300
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:39,3315,-1100
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:43,3315,3800
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:03:50,3315,1774
2017-03-14 14:04:57.943 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:03,3316,-600
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:03,3315,-3226
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:03,3315,-300
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-1000
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-200
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:04,3314,-300
2017-03-14 14:04:57.944 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:06,3314,-100
2017-03-14 14:04:57.945 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:24,3313,-74
2017-03-14 14:04:57.945 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:29,3313,-300
2017-03-14 14:04:57.945 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:29,3313,-200
2017-03-14 14:04:57.945 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:48,3313,-100
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3313,-326
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3313,-200
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3313,-100
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3313,-5000
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3312,-100
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3312,-1000
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3312,-300
2017-03-14 14:04:57.946 [最新]接收到逐笔数据：sh600600,青岛啤酒,03-14 14:04:49,3312,-674
