2017-03-14 14:04:37.988 [最新]接收到逐笔数据：要求的大单数据起始序号：5536
2017-03-14 14:04:52.499 [最新]接收到逐笔数据：要求的大单数据起始序号：5568
2017-03-14 14:04:52.499 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:15,2079,-200
2017-03-14 14:04:52.500 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:16,2080,900
2017-03-14 14:04:52.500 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:18,2079,-100
2017-03-14 14:04:52.500 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:24,2079,-100
2017-03-14 14:04:52.501 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:25,2079,-8000
2017-03-14 14:04:52.501 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:29,2079,-200
2017-03-14 14:04:52.501 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:36,2079,-5100
2017-03-14 14:04:52.501 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:36,2079,-1500
2017-03-14 14:04:52.502 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:44,2080,300
2017-03-14 14:04:52.502 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:03:59,2080,500
2017-03-14 14:04:52.502 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:00,2079,-500
2017-03-14 14:04:52.502 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:05,2079,-2000
2017-03-14 14:04:52.503 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:07,2079,-146
2017-03-14 14:04:52.503 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:10,2080,1000
2017-03-14 14:04:52.503 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:11,2080,300
2017-03-14 14:04:52.503 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:14,2079,-200
2017-03-14 14:04:52.504 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:17,2079,-900
2017-03-14 14:04:52.504 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:18,2079,-900
2017-03-14 14:04:52.504 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:20,2079,-600
2017-03-14 14:04:52.504 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:26,2079,-500
2017-03-14 14:04:52.504 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:31,2079,-910
2017-03-14 14:04:52.505 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:34,2080,300
2017-03-14 14:04:52.505 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:35,2079,-200
2017-03-14 14:04:52.505 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-1853
2017-03-14 14:04:52.506 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-3000
2017-03-14 14:04:52.506 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-2400
2017-03-14 14:04:52.506 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-1300
2017-03-14 14:04:52.507 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:52.507 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-600
2017-03-14 14:04:52.507 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-400
2017-03-14 14:04:52.508 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-300
2017-03-14 14:04:52.508 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-400
2017-03-14 14:04:52.508 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:52.508 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:52.628 [最新]接收到逐笔数据：要求的大单数据起始序号：5600
2017-03-14 14:04:52.628 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:52.628 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:52.628 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:40,2078,-1100
2017-03-14 14:04:52.629 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:40,2079,500
2017-03-14 14:04:54.322 [最新]接收到逐笔数据：要求的大单数据起始序号：5604
2017-03-14 14:04:54.322 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:41,2079,847
2017-03-14 14:04:54.353 [最新]接收到逐笔数据：要求的大单数据起始序号：5605
2017-03-14 14:04:54.353 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:41,2079,-153
2017-03-14 14:04:56.227 [最新]接收到逐笔数据：要求的大单数据起始序号：5606
2017-03-14 14:04:56.227 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:44,2078,-5100
2017-03-14 14:04:58.321 [最新]接收到逐笔数据：要求的大单数据起始序号：5600
2017-03-14 14:04:58.321 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:58.321 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:38,2079,-500
2017-03-14 14:04:58.321 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:40,2078,-1100
2017-03-14 14:04:58.321 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:40,2079,500
2017-03-14 14:04:58.322 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:41,2079,847
2017-03-14 14:04:58.323 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:41,2079,-153
2017-03-14 14:04:58.323 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:44,2078,-5100
2017-03-14 14:04:58.324 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:50,2078,-1109
2017-03-14 14:04:58.324 [最新]接收到逐笔数据：sh600066,宇通客车,03-14 14:04:50,2078,-191
