2017-03-14 14:04:47.683 [最新]接收到逐笔数据：要求的大单数据起始序号：6432
2017-03-14 14:04:52.432 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:36,681,67
2017-03-14 14:04:52.433 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-146137
2017-03-14 14:04:52.433 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1000
2017-03-14 14:04:52.433 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-500
2017-03-14 14:04:52.434 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-4800
2017-03-14 14:04:52.434 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-500
2017-03-14 14:04:52.435 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-2700
2017-03-14 14:04:52.435 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-10000
2017-03-14 14:04:52.435 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-2000
2017-03-14 14:04:52.436 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1000
2017-03-14 14:04:52.436 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-2100
2017-03-14 14:04:52.436 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-500
2017-03-14 14:04:52.437 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1000
2017-03-14 14:04:52.437 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-15000
2017-03-14 14:04:52.437 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-4500
2017-03-14 14:04:52.438 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1000
2017-03-14 14:04:52.438 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1400
2017-03-14 14:04:52.438 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-200
2017-03-14 14:04:52.438 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-2000
2017-03-14 14:04:52.439 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-3000
2017-03-14 14:04:52.439 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-500
2017-03-14 14:04:52.440 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-200
2017-03-14 14:04:52.440 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-500
2017-03-14 14:04:52.440 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-1400
2017-03-14 14:04:52.441 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-27800
2017-03-14 14:04:52.441 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-4800
2017-03-14 14:04:52.442 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-10000
2017-03-14 14:04:52.442 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-4300
2017-03-14 14:04:52.442 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-5000
2017-03-14 14:04:52.443 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-800
2017-03-14 14:04:52.444 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-4000
2017-03-14 14:04:52.444 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:40,680,-100
2017-03-14 14:04:54.280 [最新]接收到逐笔数据：要求的大单数据起始序号：6504
2017-03-14 14:04:54.280 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:42,679,-5700
2017-03-14 14:04:59.794 [最新]接收到逐笔数据：要求的大单数据起始序号：6505
2017-03-14 14:04:59.794 [最新]接收到逐笔数据：sh600565,迪马股份,03-14 14:04:50,680,1800
