2017-03-14 14:04:41.162 [最新]接收到逐笔数据：要求的大单数据起始序号：50560
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:34,1092,1600
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:35,1091,-200
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:38,1092,100
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:39,1092,200
2017-03-14 14:04:52.764 [最新]接收到逐笔数据：要求的大单数据起始序号：50605
2017-03-14 14:04:52.764 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:40,1091,-1000
2017-03-14 14:04:54.436 [最新]接收到逐笔数据：要求的大单数据起始序号：50606
2017-03-14 14:04:54.436 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:41,1092,800
2017-03-14 14:04:54.462 [最新]接收到逐笔数据：要求的大单数据起始序号：50592
2017-03-14 14:04:54.462 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1092,800
2017-03-14 14:04:54.462 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:54.462 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:54.463 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:54.463 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:54.463 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:54.463 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:54.464 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:54.464 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
2017-03-14 14:04:54.464 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:34,1092,1600
2017-03-14 14:04:54.464 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:35,1091,-200
2017-03-14 14:04:54.464 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:38,1092,100
2017-03-14 14:04:54.465 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:39,1092,200
2017-03-14 14:04:54.465 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:40,1091,-1000
2017-03-14 14:04:54.465 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:41,1092,800
2017-03-14 14:04:54.466 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:42,1092,5000
2017-03-14 14:04:54.544 [最新]接收到逐笔数据：要求的大单数据起始序号：50607
2017-03-14 14:04:54.544 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:42,1092,5000
2017-03-14 14:04:54.544 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:43,1091,-20000
2017-03-14 14:04:54.544 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:44,1092,400
2017-03-14 14:04:58.375 [最新]接收到逐笔数据：要求的大单数据起始序号：50592
2017-03-14 14:04:58.376 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1092,800
2017-03-14 14:04:58.376 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:58.376 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:58.376 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:58.376 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:58.377 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:58.377 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:58.377 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:58.377 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
2017-03-14 14:04:58.378 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:34,1092,1600
2017-03-14 14:04:58.378 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:35,1091,-200
2017-03-14 14:04:58.378 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:38,1092,100
2017-03-14 14:04:58.378 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:39,1092,200
2017-03-14 14:04:58.378 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:40,1091,-1000
2017-03-14 14:04:58.379 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:41,1092,800
2017-03-14 14:04:58.379 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:42,1092,5000
2017-03-14 14:04:58.379 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:43,1091,-20000
2017-03-14 14:04:58.379 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:44,1092,400
2017-03-14 14:04:58.380 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:48,1092,3000
2017-03-14 14:05:00.185 [最新]接收到逐笔数据：要求的大单数据起始序号：50611
2017-03-14 14:05:00.185 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:50,1092,1000
2017-03-14 14:05:00.212 [最新]接收到逐笔数据：要求的大单数据起始序号：50612
2017-03-14 14:05:00.212 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:52,1092,1000
2017-03-14 14:05:00.248 [最新]接收到逐笔数据：要求的大单数据起始序号：50613
2017-03-14 14:05:00.249 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:52,1091,-3000
