2017-03-14 14:04:38.205 [最新]接收到逐笔数据：要求的大单数据起始序号：4352
2017-03-14 14:04:54.514 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:09,540,-1183
2017-03-14 14:04:54.514 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:09,540,-500
2017-03-14 14:04:54.514 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:09,540,-300
2017-03-14 14:04:54.515 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:09,540,-217
2017-03-14 14:04:54.515 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:10,540,-783
2017-03-14 14:04:54.516 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:10,540,-517
2017-03-14 14:04:54.517 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:12,540,-483
2017-03-14 14:04:54.518 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:12,540,-200
2017-03-14 14:04:54.518 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:12,540,-1917
2017-03-14 14:04:54.518 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:21,540,-83
2017-03-14 14:04:54.518 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:21,540,-17
2017-03-14 14:04:54.519 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:22,540,-100
2017-03-14 14:04:54.519 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:26,540,-49
2017-03-14 14:04:54.520 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:31,540,-100
2017-03-14 14:04:54.520 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:35,540,-1900
2017-03-14 14:04:54.520 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:36,540,-834
2017-03-14 14:04:54.521 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:36,540,-1266
2017-03-14 14:04:54.521 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:38,540,-100
2017-03-14 14:04:54.522 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-634
2017-03-14 14:04:54.522 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1900
2017-03-14 14:04:54.522 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1000
2017-03-14 14:04:54.522 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-900
2017-03-14 14:04:54.523 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1500
2017-03-14 14:04:54.524 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-100
2017-03-14 14:04:54.524 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1000
2017-03-14 14:04:54.524 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-100
2017-03-14 14:04:54.525 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-5000
2017-03-14 14:04:54.525 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1000
2017-03-14 14:04:54.526 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-100
2017-03-14 14:04:54.526 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-2000
2017-03-14 14:04:54.526 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-2400
2017-03-14 14:04:54.527 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-1000
2017-03-14 14:04:54.527 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-100
2017-03-14 14:04:54.527 [最新]接收到逐笔数据：sh600077,宋都股份,03-14 14:04:41,540,-300
