2017-03-14 14:04:38.284 [最新]接收到逐笔数据：要求的大单数据起始序号：1760
2017-03-14 14:04:38.313 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-200
2017-03-14 14:04:38.313 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-1000
2017-03-14 14:04:38.313 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:29,1555,100
2017-03-14 14:04:50.743 [最新]接收到逐笔数据：要求的大单数据起始序号：1820
2017-03-14 14:04:50.744 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:35,1555,1000
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：要求的大单数据起始序号：1821
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-300
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-100
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-100
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-500
2017-03-14 14:04:52.044 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-100
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-200
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-2900
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-1500
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-300
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-500
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-1000
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-500
2017-03-14 14:04:52.045 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-200
2017-03-14 14:04:52.046 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-200
2017-03-14 14:04:52.046 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:37,1554,-300
2017-03-14 14:05:00.253 [最新]接收到逐笔数据：要求的大单数据起始序号：1836
2017-03-14 14:05:00.253 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:50,1554,-1100
