2017-03-14 14:04:39.713 [最新]接收到逐笔数据：要求的大单数据起始序号：27200
2017-03-14 14:04:39.724 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,200
2017-03-14 14:04:39.724 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,3000
2017-03-14 14:04:39.724 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,300
2017-03-14 14:04:39.724 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,500
2017-03-14 14:04:39.724 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2164,-100
2017-03-14 14:04:39.725 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:26,2165,500
2017-03-14 14:04:50.380 [最新]接收到逐笔数据：要求的大单数据起始序号：27232
2017-03-14 14:04:50.383 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,2400
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,3000
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,1000
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,500
2017-03-14 14:04:50.384 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,1000
2017-03-14 14:04:50.385 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,200
2017-03-14 14:04:50.385 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,700
2017-03-14 14:04:50.385 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:04,2163,-1000
2017-03-14 14:04:50.386 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:04,2163,-4000
2017-03-14 14:04:50.386 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:10,2164,1100
2017-03-14 14:04:50.386 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,100
2017-03-14 14:04:50.386 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,1000
2017-03-14 14:04:50.387 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:12,2164,200
2017-03-14 14:04:50.387 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-1700
2017-03-14 14:04:50.388 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-100
2017-03-14 14:04:50.388 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:13,2164,-100
2017-03-14 14:04:50.388 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:14,2164,-100
2017-03-14 14:04:50.389 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:18,2164,-200
2017-03-14 14:04:50.389 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:22,2164,-200
2017-03-14 14:04:50.389 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,300
2017-03-14 14:04:50.389 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,400
2017-03-14 14:04:50.389 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,200
2017-03-14 14:04:50.391 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,3000
2017-03-14 14:04:50.391 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:23,2165,300
