2017-03-14 14:04:41.926 [最新]接收到逐笔数据：要求的大单数据起始序号：2432
2017-03-14 14:04:52.513 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:09,587,300
2017-03-14 14:04:52.513 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:09,587,600
2017-03-14 14:04:52.513 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:09,587,3000
2017-03-14 14:04:52.513 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:09,587,195
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:26,586,-6
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:44,587,1500
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:56,586,-2000
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:01:56,586,-6
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:02:03,587,300
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:02:26,586,-6
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:02:31,586,-100
2017-03-14 14:04:52.514 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:02:56,586,-6
2017-03-14 14:04:52.516 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:02:57,586,-500
2017-03-14 14:04:52.516 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:03:26,586,-6
2017-03-14 14:04:52.516 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:03:56,586,-6
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:26,586,-6
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,1505
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,200
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,2000
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,200
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,200
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,5000
2017-03-14 14:04:52.517 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,1000
2017-03-14 14:04:52.518 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,200
2017-03-14 14:04:52.518 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:31,587,200
2017-03-14 14:04:52.518 [最新]接收到逐笔数据：sh600246,万通地产,03-14 14:04:38,587,-800
